"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0711"	"0"	"2"	"17"	"67"	"0"
"NLA06608-0712"	"0"	"0"	"0"	"37"	"0"
"NLA06608-0713"	"2"	"16"	"54"	"187"	"12"
"NLA06608-0715"	"2"	"25"	"116"	"266"	"23"
"NLA06608-0717"	"6"	"23"	"107"	"450"	"0"
"NLA06608-0718"	"2"	"6"	"21"	"39"	"9"
"NLA06608-0720"	"0"	"0"	"0"	"6"	"0"
"NLA06608-0721"	"0"	"7"	"25"	"160"	"14"
"NLA06608-0723"	"0"	"0"	"0"	"1"	"1"
"NLA06608-0724"	"4"	"12"	"31"	"112"	"0"
"NLA06608-0726"	"0"	"1"	"4"	"42"	"0"
"NLA06608-0727"	"0"	"0"	"0"	"10"	"0"
"NLA06608-0731"	"0"	"1"	"3"	"33"	"0"
"NLA06608-0733"	"0"	"0"	"0"	"4"	"0"
"NLA06608-0734"	"0"	"6"	"29"	"45"	"0"
"NLA06608-0738"	"0"	"0"	"14"	"189"	"0"
"NLA06608-0743"	"0"	"1"	"25"	"76"	"0"
"NLA06608-0744"	"0"	"0"	"0"	"4"	"0"
"NLA06608-0749"	"0"	"3"	"9"	"53"	"0"
"NLA06608-0751"	"2"	"4"	"5"	"102"	"0"
"NLA06608-0753"	"0"	"0"	"1"	"12"	"0"
"NLA06608-0754"	"0"	"25"	"110"	"196"	"0"
"NLA06608-0755"	"0"	"0"	"1"	"6"	"0"
"NLA06608-0756"	"0"	"0"	"0"	"8"	"1"
"NLA06608-0759"	"0"	"0"	"6"	"40"	"0"
"NLA06608-0761"	"27"	"113"	"372"	"860"	"0"
"NLA06608-0762"	"0"	"0"	"14"	"42"	"17"
"NLA06608-0764"	"0"	"0"	"0"	"3"	"0"
"NLA06608-0765"	"5"	"9"	"11"	"41"	"0"
"NLA06608-0766"	"0"	"0"	"1"	"8"	"1"
"NLA06608-0769"	"1"	"2"	"7"	"26"	"1"
"NLA06608-0770"	"0"	"1"	"9"	"26"	"3"
"NLA06608-0771"	"0"	"1"	"5"	"23"	"0"
"NLA06608-0775"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0779"	"0"	"0"	"0"	"4"	"1"
"NLA06608-0781"	"30"	"130"	"333"	"817"	"0"
"NLA06608-0782"	"0"	"0"	"0"	"20"	"0"
"NLA06608-0783"	"0"	"0"	"15"	"88"	"0"
"NLA06608-0785"	"6"	"19"	"32"	"95"	"21"
"NLA06608-0792"	"2"	"7"	"35"	"67"	"7"
"NLA06608-0793"	"0"	"2"	"7"	"20"	"0"
"NLA06608-0794"	"5"	"6"	"6"	"17"	"4"
"NLA06608-0797"	"0"	"0"	"1"	"5"	"1"
"NLA06608-0802"	"0"	"8"	"75"	"202"	"0"
"NLA06608-0804"	"0"	"1"	"2"	"30"	"0"
"NLA06608-0805"	"1"	"11"	"42"	"321"	"0"
"NLA06608-0806"	"0"	"1"	"56"	"75"	"0"
"NLA06608-0807"	"0"	"0"	"0"	"2"	"0"
"NLA06608-0808"	"0"	"1"	"4"	"20"	"1"
"NLA06608-0809"	"0"	"0"	"0"	"3"	"0"
"NLA06608-0811"	"2"	"7"	"16"	"23"	"0"
"NLA06608-0812"	"0"	"0"	"6"	"22"	"0"
"NLA06608-0815"	"1"	"5"	"29"	"106"	"0"
"NLA06608-0820"	"0"	"0"	"1"	"30"	"0"
"NLA06608-0823"	"0"	"2"	"3"	"47"	"0"
"NLA06608-0824"	"0"	"0"	"1"	"30"	"0"
"NLA06608-0825"	"1"	"1"	"1"	"4"	"1"
"NLA06608-0827"	"11"	"36"	"77"	"231"	"23"
"NLA06608-0828"	"0"	"0"	"11"	"37"	"0"
"NLA06608-0830"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0831"	"1"	"4"	"15"	"72"	"0"
"NLA06608-0833"	"1"	"1"	"24"	"36"	"0"
"NLA06608-0834"	"1"	"1"	"4"	"29"	"3"
"NLA06608-0836"	"1"	"1"	"1"	"4"	"1"
"NLA06608-0837"	"0"	"2"	"7"	"26"	"3"
"NLA06608-0842"	"0"	"0"	"4"	"15"	"4"
"NLA06608-0843"	"1"	"5"	"27"	"42"	"0"
